seq,actor,kind,query_id,payload
1,coordinator,CAPABILITY_REQUEST,A1-s11-k10,{}
2,P1,CAPABILITY,A1-s11-k10,"{""capability_version"": ""1"", ""local_vocabulary"": {""age"": [""age"", ""decade"", ""band"", ""ALL""], ""geo"": [""city"", ""state"", ""country"", ""ALL""]}, ""min_levels"": {}, ""party_id"": ""P1"", ""supported_measures"": [""revenue"", ""quantity""]}"
3,P2,CAPABILITY,A1-s11-k10,"{""capability_version"": ""1"", ""local_vocabulary"": {""age"": [""exact_age"", ""decade"", ""band"", ""ALL""], ""geo"": [""municipality"", ""province"", ""country"", ""ALL""]}, ""min_levels"": {""age"": 1}, ""party_id"": ""P2"", ""supported_measures"": [""revenue"", ""quantity""]}"
4,P3,CAPABILITY,A1-s11-k10,"{""capability_version"": ""1"", ""local_vocabulary"": {""age"": [""age"", ""ten_year_band"", ""broad_band"", ""ALL""], ""geo"": [""locality"", ""region"", ""country"", ""ALL""]}, ""min_levels"": {""geo"": 1}, ""party_id"": ""P3"", ""supported_measures"": [""revenue"", ""quantity""]}"
5,P4,CAPABILITY,A1-s11-k10,"{""capability_version"": ""1"", ""local_vocabulary"": {""age"": [""age"", ""decade"", ""segment"", ""ALL""], ""geo"": [""town"", ""administrative_region"", ""country"", ""ALL""]}, ""min_levels"": {""time"": 1}, ""party_id"": ""P4"", ""supported_measures"": [""revenue"", ""quantity""]}"
6,coordinator,PLAN_PROPOSAL,A1-s11-k10,"{""level_names"": ""geo=state;age=age_decade"", ""levels"": {""age"": 1, ""geo"": 1}}"
7,P1,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
8,P2,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
9,P3,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
10,P4,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
11,coordinator,PLAN_PROPOSAL,A1-s11-k10,"{""level_names"": ""geo=state;age=age_band"", ""levels"": {""age"": 2, ""geo"": 1}}"
12,P1,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
13,P2,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
14,P3,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
15,P4,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
16,coordinator,PLAN_PROPOSAL,A1-s11-k10,"{""level_names"": ""geo=country;age=age_decade"", ""levels"": {""age"": 1, ""geo"": 2}}"
17,P1,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""SAFE""}"
18,P2,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""SAFE""}"
19,P3,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""UNSAFE""}"
20,P4,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""SAFE""}"
21,coordinator,PLAN_PROPOSAL,A1-s11-k10,"{""level_names"": ""geo=state;age=all_age"", ""levels"": {""age"": 3, ""geo"": 1}}"
22,P1,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""SAFE""}"
23,P2,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""SAFE""}"
24,P3,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""SAFE""}"
25,P4,PLAN_REPLY,A1-s11-k10,"{""capability_version"": ""1"", ""status"": ""SAFE""}"
26,coordinator,PLAN_COMMIT,A1-s11-k10,"{""level_names"": ""geo=state;age=all_age"", ""levels"": {""age"": 3, ""geo"": 1}}"
27,coordinator,AGGREGATE_REQUEST,A1-s11-k10,"{""levels"": {""age"": 3, ""geo"": 1}}"
28,P1,AGGREGATE_RELEASE,A1-s11-k10,"{""payload_bytes"": 859, ""rows"": 9}"
29,coordinator,AGGREGATE_REQUEST,A1-s11-k10,"{""levels"": {""age"": 3, ""geo"": 1}}"
30,P2,AGGREGATE_RELEASE,A1-s11-k10,"{""payload_bytes"": 841, ""rows"": 9}"
31,coordinator,AGGREGATE_REQUEST,A1-s11-k10,"{""levels"": {""age"": 3, ""geo"": 1}}"
32,P3,AGGREGATE_RELEASE,A1-s11-k10,"{""payload_bytes"": 821, ""rows"": 9}"
33,coordinator,AGGREGATE_REQUEST,A1-s11-k10,"{""levels"": {""age"": 3, ""geo"": 1}}"
34,P4,AGGREGATE_RELEASE,A1-s11-k10,"{""payload_bytes"": 843, ""rows"": 9}"
